timestamp,resource_type,batch_size,query_cost,remaining,reset_at,status,retries,cache_hit
2026-08-03T04:09:22Z,graphql_repositories,25,1,4628,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:09:28Z,graphql_repositories,25,1,4627,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:09:33Z,graphql_repositories,25,1,4626,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:09:39Z,graphql_repositories,25,1,4625,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:09:43Z,graphql_repositories,25,1,4624,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:09:50Z,graphql_repositories,25,1,4623,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:09:55Z,graphql_repositories,25,1,4622,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:10:01Z,graphql_repositories,25,1,4621,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:10:09Z,graphql_repositories,25,1,4620,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:10:15Z,graphql_repositories,25,1,4619,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:10:22Z,graphql_repositories,25,1,4618,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:10:30Z,graphql_repositories,25,1,4617,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:10:35Z,graphql_repositories,25,1,4616,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:10:41Z,graphql_repositories,25,1,4615,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:10:47Z,graphql_repositories,25,1,4614,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:10:54Z,graphql_repositories,25,1,4613,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:10:59Z,graphql_repositories,25,1,4612,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:11:07Z,graphql_repositories,25,1,4611,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:11:14Z,graphql_repositories,25,1,4610,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:11:18Z,graphql_repositories,25,1,4609,2026-08-03T04:43:24+00:00,success,0,false
