repo_name,owner_login,unique_human_contributors,active_days,active_months,push_events,pull_requests_opened,pull_requests_closed,merged_pull_requests,reviews_submitted,issues_opened,issue_comments,releases,weighted_activity_score,automation_event_share,single_actor_event_share,first_seen,last_seen
hank9999/kiro.rs,hank9999,9,15,2,9,2,0,0,1,4,5,0,37.0,0.0,0.5238095238095238,2026-05-01,2026-06-02
XVX-016/OtakuLog,XVX-016,9,12,2,8,1,0,0,2,1,9,0,37.0,0.0,0.6190476190476191,2026-05-28,2026-06-17
kubernetes-sigs/kustomize,kubernetes-sigs,7,17,2,3,2,1,1,1,0,16,0,37.0,0.3235294117647059,0.4782608695652174,2026-05-01,2026-06-28
SteamDeckHomebrew/decky-plugin-database,SteamDeckHomebrew,11,12,2,4,0,1,0,4,0,13,0,37.0,0.2903225806451613,0.36363636363636365,2026-05-01,2026-07-22
KSP-RO/RealAntennas,KSP-RO,6,9,2,7,0,2,0,4,1,6,0,37.0,0.047619047619047616,0.35,2026-05-01,2026-06-25
BAWES-Universe/studenthub-staff,BAWES-Universe,11,7,2,4,4,0,0,0,0,16,0,36.0,0.3142857142857143,0.25,2026-05-15,2026-06-29
tronprotocol/tips,tronprotocol,9,13,3,7,2,0,0,1,2,9,0,35.0,0.0,0.3333333333333333,2026-05-08,2026-07-29
nvim-lua/kickstart.nvim,nvim-lua,16,21,3,7,3,4,0,0,2,10,0,35.0,0.0,0.38461538461538464,2026-05-02,2026-07-27
obsidianmd/obsidian-clipper,obsidianmd,12,12,3,8,3,1,0,0,6,4,0,35.0,0.0,0.4090909090909091,2026-05-03,2026-07-21
Vishisht16/Humane-Proxy,Vishisht16,8,15,3,8,2,0,0,1,1,8,0,35.0,0.047619047619047616,0.65,2026-05-10,2026-07-06
rust-lang/rustlings,rust-lang,6,11,2,9,2,2,0,1,0,6,0,34.0,0.0,0.5,2026-05-03,2026-06-23
melonDS-emu/melonDS,melonDS-emu,14,17,3,7,3,0,0,0,3,7,0,33.0,0.0,0.2,2026-05-01,2026-07-28
jwadow/kiro-gateway,jwadow,14,15,2,6,3,0,0,0,2,10,0,33.0,0.16,0.2857142857142857,2026-05-02,2026-06-30
AIDC-AI/Pixelle-Video,AIDC-AI,13,11,2,6,3,0,0,0,6,5,0,32.0,0.0,0.3,2026-05-04,2026-06-14
arshchouhan/Ment2Be,arshchouhan,18,11,2,1,4,0,0,0,1,17,0,32.0,0.08,0.13043478260869565,2026-05-10,2026-06-03
kubernetes/cloud-provider-openstack,kubernetes,6,14,3,2,0,0,0,3,0,15,0,31.0,0.16666666666666666,0.55,2026-05-01,2026-07-20
madanrajsagar/Abhaya,madanrajsagar,15,13,3,0,4,0,0,0,4,14,0,30.0,0.0,0.22727272727272727,2026-05-16,2026-07-05
